"CPU","File Read Time","Chunk Size","Multiprocess Configuration","Multiprocess Execution Time","Total Time","Wordlist"
1,1.346809,1434439,6.265023,19.525150,21.251832,"rockyou.txt"
2,1.572867,7172195,6.926969,14.563228,16.451073,"rockyou.txt"
4,1.558731,3586097,7.936500,11.391729,13.240060,"rockyou.txt"
8,1.399640,1793048,9.538340,11.921159,13.597653,"rockyou.txt"
8,9.019927,7992633,39.83324,53.887111,62.907040,"realhuman_phill.txt"

8,4.276345500000389,7992633,22.495590299999094,6.154890699999669,33.71971180000037,"realhuman_phill.txt"
8,4.192608499997732,7992633,23.429872500000783,6.113231100000121,34.53211960000044,"realhuman_phill.txt"
8,4.227359500000603,7992633,22.99579359999916,6.138288600002852,34.16157220000241,"realhuman_phill.txt"
8,4.3520082000031834,7992633,23.578949699996883,6.219722900001216,34.94593220000024,"realhuman_phill.txt"
8,4.263371299999562,7992633,23.13265709999905,6.191690200001176,34.498408700001164,"realhuman_phill.txt"
8,4.294618199997785,7992633,24.252391699999862,6.584757100001298,36.14008459999968,"realhuman_phill.txt"
7,4.395478399999774,9134438,22.153903100001116,6.765998900000341,34.249938900000416,"realhuman_phill.txt"
6,4.5534544000001915,10656844,21.83427710000069,8.793053600000349,35.99474799999916,"realhuman_phill.txt"
5,4.322609400000147,12788213,23.003848700000162,9.405853599999318,37.824405399998795,"realhuman_phill.txt"
4,4.198723399998926,15985267,21.280103999999483,12.133236200001193,38.54780629999914,"realhuman_phill.txt"
4,4.208859200000006,15985267,21.873950400000467,12.12752349999937,39.126283099998545,"realhuman_phill.txt"
4,4.3907126000012795,15985267,21.286832000001596,12.235654099997191,38.83565910000107,"realhuman_phill.txt"
4,4.273938599999383,15985267,21.64659639999809,12.374126200000319,39.31920790000004,"realhuman_phill.txt"
4,4.48337470000115,15985267,22.21139309999853,12.117647800001578,39.806145900001866,"realhuman_phill.txt"
3,4.297587900000508,21313689,20.35312840000006,15.851992800000517,41.53614809999999,"realhuman_phill.txt"
2,4.222120200000063,31970534,20.806681999998546,23.379428899999766,49.426529700000174,"realhuman_phill.txt"
2,4.585097999999562,31970534,21.92156360000081,23.464065399999527,51.4122169000002,"realhuman_phill.txt"
2,4.226750900001207,31970534,20.930039099999703,23.459519,49.728492799997184,"realhuman_phill.txt"
2,4.133486099999573,31970534,20.62288980000085,23.50730509999994,49.36542429999827,"realhuman_phill.txt"
2,4.187102900003083,31970534,20.7031943999973,23.75619949999964,49.7078909999982,"realhuman_phill.txt"
1,4.413350099999661,63941069,21.397458899999037,47.06948399999965,74.18997130000207,"realhuman_phill.txt"
1,4.318849999999657,63941069,21.756167399998958,46.56770880000113,73.97394400000121,"realhuman_phill.txt"
1,4.244768399999884,63941069,21.370770500001527,46.57970750000095,73.44519469999796,"realhuman_phill.txt"
1,4.259399599999597,63941069,21.281459699999687,46.94267200000104,73.83272910000233,"realhuman_phill.txt"
1,4.303277500000149,63941069,21.316254700001082,47.028807299999244,74.00226490000023,"realhuman_phill.txt"

1,0.9509106000004977,14344391,4.746391299999232,10.548290800001269,16.57402529999672,"rockyou.txt"
1,0.9178590000010445,14344391,4.5515530000011495,10.52402230000007,16.26234950000071,"rockyou.txt"
1,0.9337620000005700,14344391,4.689528599999903,10.813438799999858,16.751983800000744,"rockyou.txt"
1,0.9507161000001361,14344391,4.592002899997169,10.492854200001602,16.309169899999688,"rockyou.txt"
2,0.9113242999992508,7172195,5.40196830000059,5.288708200001565,11.837361899997632,"rockyou.txt"
2,1.0853931000019656,7172195,5.1131205999990925,5.298617699998431,11.71121470000071,"rockyou.txt"
2,0.9863930999999866,7172195,5.069319499998528,5.352448900001036,11.624667899999622,"rockyou.txt"
2,1.1123755000007804,7172195,4.875060299997131,5.318719099999726,11.565282399998978,"rockyou.txt"
4,0.8834077999999863,3586097,5.319943899998179,2.708579300000565,9.105242799996631,"rockyou.txt"
4,0.9022320999974909,3586097,5.394003000001248,2.7747402000022703,9.266683599998942,"rockyou.txt"
4,0.8941186999982165,3586097,5.150335900001664,2.711212099999102,8.938377400001627,"rockyou.txt"
4,0.8968633000004047,3586097,5.141267799997877,2.6873035000025993,8.909237500000017,"rockyou.txt"
8,0.9571730999996362,1793048,5.949345400000311,1.381668099998933,8.46464399999968,"rockyou.txt"
8,0.9257333999994444,1793048,6.121827200000553,1.387049200002366,8.600076500002615,"rockyou.txt"
8,0.9236756999998761,1793048,5.7067797999989125,1.3826403000020946,8.202718399999867,"rockyou.txt"
8,0.8725431999991997,1793048,5.606160199997248,1.3473050000029616,8.015989499999705,"rockyou.txt"

1,0.9459867,14344391,0,10.3414451,11.2874318,"rockyou.txt"
1,0.9310877,14344391,0,10.3106931,11.2417808,"C:\Users\gescu\Downloads\rockyou.txt"
1,0.8360968,14344391,0,10.2649504,11.1010472,"C:\Users\gescu\Downloads\rockyou.txt"
1,0.9058459,14344391,0,10.8651292,11.7709751,"C:\Users\gescu\Downloads\rockyou.txt"
1,0.9321702,14344391,0,10.9580259,11.8901961,"C:\Users\gescu\Downloads\rockyou.txt"
1,4.1604519,63941069,0,46.2186623,50.3791142,"C:\Users\gescu\Downloads\crackstation-human-only\realhuman_phill.txt"
1,4.5273248,63941069,0,46.0505021,50.5778269,"C:\Users\gescu\Downloads\crackstation-human-only\realhuman_phill.txt"
